matreial,materialDescription,quantity,postingDate,cost,movementType,Movement Type Text,Material Document,Document Date,Reference,Storage Location,Customer,userName,Collective number,Time of Entry,reasonArea
160/15584,SILENCER,-1,14/10/2024,-101.96,551,GI scrapping,4012249044,14/10/2024,,PROD,,HOPKINSTR,,07:37:16,Damaged - Production Z7
160/15585,SILENCER EXHAUST NAT/ASP,-1,14/10/2024,-98.81,551,GI scrapping,4012249042,14/10/2024,,PROD,,HOPKINSTR,,07:35:51,Damaged - Production Z7
162/01562,GUARD TRASH,-1,14/10/2024,-9.23,551,GI scrapping,4012249113,14/10/2024,,PROD,,HOPKINSTR,,07:39:52,Damaged - Post Obay
25/301100,VALVE -INLINE CHK,-1,14/10/2024,-4.52,551,GI scrapping,4012248881,14/10/2024,,PROD,,HOPKINSTR,,07:28:59,Damaged - Production Z7
30/926519,DENSO OIL COOLER,-2,14/10/2024,-250.52,551,GI scrapping,4012248950,14/10/2024,,PROD,,HOPKINSTR,,07:31:55,Damaged - Production Z7
32/925421,FILLER BREATHER CAP,-2,14/10/2024,-31.3,551,GI scrapping,4012249593,14/10/2024,,PROD,,HOPKINSTR,,08:02:36,Damaged - Post Obay
320/A7226,FUEL FILTER ASSEMBLY RH,-1,14/10/2024,-328.59,551,GI scrapping,4012248921,14/10/2024,,PROD,,HOPKINSTR,,07:30:26,Damaged - Production Z7
320/A7362,6kP-G-1-C-2R-12MB-332-146,-1,14/10/2024,-226.58,551,GI scrapping,4012249424,14/10/2024,,PROD,,HOPKINSTR,,07:53:22,Damaged - Post Obay
32AG/AA200,HOSE -06 BSP HP 2000mm A,-2,14/10/2024,-16.25,551,GI scrapping,4012249541,14/10/2024,,PROD,,HOPKINSTR,,07:56:44,Damaged - Post Obay
331/17596,DECKPLATE COVER PLATE,-1,14/10/2024,-1.5,551,GI scrapping,4012249592,14/10/2024,,PROD,,HOPKINSTR,,08:02:07,Damaged - Post Obay
331/18130,Cap Filler Breathe,-5,14/10/2024,-54.2,551,GI scrapping,4012249470,14/10/2024,,PROD,,HOPKINSTR,,07:53:56,Damaged - Post Obay
331/39114,LIFT RAM RECESS COVER P69,-1,14/10/2024,-23.76,551,GI scrapping,4012249167,14/10/2024,,PROD,,HOPKINSTR,,07:43:40,Damaged - Post Obay
331/62245,EXHAUST JACKET,-6,14/10/2024,-60.96,551,GI scrapping,4012249162,14/10/2024,,PROD,,HOPKINSTR,,07:42:33,Damaged - Post Obay
332/E7869,SERVO HOSE 1/4BSP 6800 LG,-1,14/10/2024,-12.09,551,GI scrapping,4012248586,14/10/2024,,PROD,,HOPKINSTR,,07:10:54,Damaged - Post Obay
332/F6262,LH FRONT FENDER,-1,14/10/2024,-21.61,551,GI scrapping,4012249728,14/10/2024,,PROD,,HOPKINSTR,,08:15:14,Damaged - Post Obay
332/F6262,LH FRONT FENDER,-1,14/10/2024,-21.61,551,GI scrapping,4012249046,14/10/2024,,PROD,,HOPKINSTR,,07:38:58,Damaged - Post Obay
332/G4558,WA REAR COVER 5AT,-1,14/10/2024,-13.01,551,GI scrapping,4012249507,14/10/2024,,PROD,,HOPKINSTR,,07:55:45,Damaged - Post Obay
332/H0294,FLOOR MAT,-1,14/10/2024,-29.19,551,GI scrapping,4012248568,14/10/2024,,PROD,,HOPKINSTR,,07:10:28,Damaged - Post Obay
332/H0537,FAN MOTOR 19cc,-1,14/10/2024,-79.45,551,GI scrapping,4012249508,14/10/2024,,PROD,,HOPKINSTR,,07:56:10,Damaged - Post Obay
332/H0558,COUNTERBALANCE VALVE - DUAL,-1,14/10/2024,-183.54,551,GI scrapping,4012248368,14/10/2024,,PROD,,HOPKINSTR,,06:46:45,Damaged - Production Z7
332/H2489,(W) (P) REAR ACCESS PLATE WA,-1,14/10/2024,-17.41,551,GI scrapping,4012249720,14/10/2024,,PROD,,HOPKINSTR,,08:13:53,Damaged - Post Obay
332/H2489,(W) (P) REAR ACCESS PLATE WA,-1,14/10/2024,-17.41,551,GI scrapping,4012249902,14/10/2024,,PROD,,HOPKINSTR,,08:28:14,Damaged - Post Obay
332/H3812,WA SEAL PLATE 56KW+,-3,14/10/2024,-248.22,551,GI scrapping,4012248490,14/10/2024,,PROD,,HOPKINSTR,,07:02:20,Damaged - Production Subs
332/H5191,(W) (P) WA STAB FOOT SINGLE PIN,-2,14/10/2024,-81.74,551,GI scrapping,4012249599,14/10/2024,,PROD,,HOPKINSTR,,08:03:43,Damaged - Materials Int
332/H5331,SWAY VALVE,-1,14/10/2024,-101.24,551,GI scrapping,4012248876,14/10/2024,,PROD,,HOPKINSTR,,07:28:32,Damaged - Production Z7
333/C1555,ABI COOLING PACK - 81KW,-2,14/10/2024,-547.1,551,GI scrapping,4012248687,14/10/2024,,PROD,,HOPKINSTR,,07:18:33,Damaged - Production Z7
333/C7023,SA HOSE 9350mm ORANGE,-1,14/10/2024,-26.76,551,GI scrapping,4012248419,14/10/2024,,PROD,,HOPKINSTR,,06:54:42,Damaged - Post Obay
333/D1934,ASPIRATOR,-1,14/10/2024,-0.74,551,GI scrapping,4012248494,14/10/2024,,PROD,,HOPKINSTR,,07:02:51,
333/D4846,ABI 55kW EXHAUST,-1,14/10/2024,-129.6,551,GI scrapping,4012248413,14/10/2024,,PROD,,HOPKINSTR,,06:51:26,Damaged - Production Z7
333/D5044,TUBE SUCTION HMH,-1,14/10/2024,-12.69,551,GI scrapping,4012249545,14/10/2024,,PROD,,HOPKINSTR,,07:59:24,Damaged - Post Obay
333/G9820,FUEL COOLER,-1,14/10/2024,-15.07,551,GI scrapping,4012249814,14/10/2024,,PROD,,HOPKINSTR,,08:23:43,Damaged - Production Z7
333/H2396,COUNTER WEIGHT,-1,14/10/2024,-92.38,551,GI scrapping,4012249875,14/10/2024,,PROD,,HOPKINSTR,,08:26:25,Damaged - Production Z7
333/H5931,":"":O SRS MANIFOLD 550 & 5",-1,14/10/2024,-100.59,551,GI scrapping,4012248369,14/10/2024,,PROD,,HOPKINSTR,,06:47:22,Damaged - Production Z7
333/H6238,AUX PIPE WA,-1,14/10/2024,-38.21,551,GI scrapping,4012249542,14/10/2024,,PROD,,HOPKINSTR,,07:57:24,Damaged - Post Obay
333/H7010,V/BLOCK 5AB AG ELEC,-1,14/10/2024,-703.63,551,GI scrapping,4012249874,14/10/2024,,PROD,,HOPKINSTR,,08:26:00,Damaged - Production Z7
334/C5697,PO CBV - LIFT RAM - SRS,-2,14/10/2024,-331.09,551,GI scrapping,4012248412,14/10/2024,,PROD,,HOPKINSTR,,06:50:57,Damaged - Production Z7
334/C8139,WASHER BOTTLE ASSY,-1,14/10/2024,-12.54,551,GI scrapping,4012249409,14/10/2024,,PROD,,HOPKINSTR,,07:52:28,Damaged - Post Obay
334/E8262,LIFT ARM SUPPORT DEVICE (,-1,14/10/2024,-8.3,551,GI scrapping,4012248603,14/10/2024,,PROD,,HOPKINSTR,,07:12:32,Damaged - Post Obay
334/E8624,HOSE TRAY W.A. 14M,-1,14/10/2024,-22.66,551,GI scrapping,4012249877,14/10/2024,,PROD,,HOPKINSTR,,08:26:59,Damaged - Production Z7
334/G2036,ADBLUE FILL HOSE,-1,14/10/2024,-8.19,551,GI scrapping,4012249817,14/10/2024,,PROD,,HOPKINSTR,,08:24:33,Damaged - Production Z7
334/G3689,ABI HEADER TANK,-1,14/10/2024,-16.41,551,GI scrapping,4012249364,14/10/2024,,PROD,,HOPKINSTR,,07:51:36,Damaged - Post Obay
334/P4433,SA HOSE - 4900 BLUE,-3,14/10/2024,-48.63,551,GI scrapping,4012249617,14/10/2024,,PROD,,HOPKINSTR,,08:09:59,Damaged - Materials Int
334/P4589,SA HOSE - 4560 PINK,-4,14/10/2024,-68.03,551,GI scrapping,4012249610,14/10/2024,,PROD,,HOPKINSTR,,08:04:09,Damaged - Materials Int
334/P4592,SA HOSE - 4440 BLUE,-4,14/10/2024,-67.13,551,GI scrapping,4012248371,14/10/2024,,PROD,,HOPKINSTR,,06:47:55,Damaged - Materials Int
335/B3984,LIFT RAM RECESS COVER,-1,14/10/2024,-34.44,551,GI scrapping,4012248529,14/10/2024,,PROD,,HOPKINSTR,,07:09:00,Damaged - Post Obay
400/D8325,SA FENDER BASE RH,-1,14/10/2024,-17.78,551,GI scrapping,4012248859,14/10/2024,,PROD,,HOPKINSTR,,07:27:32,Damaged - Production Z7
400/D8325,SA FENDER BASE RH,-2,14/10/2024,-35.56,551,GI scrapping,4012249266,14/10/2024,,PROD,,HOPKINSTR,,07:46:48,Damaged - Post Obay
400/D8325,SA FENDER BASE RH,-1,14/10/2024,-17.78,551,GI scrapping,4012248418,14/10/2024,,PROD,,HOPKINSTR,,06:54:13,Damaged - Post Obay
400/D8325,SA FENDER BASE RH,-1,14/10/2024,-17.78,551,GI scrapping,4012248527,14/10/2024,,PROD,,HOPKINSTR,,07:07:50,Damaged - Post Obay
400/D8533,SA FENDER RH TRIM 5,-1,14/10/2024,-17.78,551,GI scrapping,4012249163,14/10/2024,,PROD,,HOPKINSTR,,07:43:14,Damaged - Post Obay
400/D8533,SA FENDER RH TRIM 5,-1,14/10/2024,-17.78,551,GI scrapping,4012248435,14/10/2024,,PROD,,HOPKINSTR,,06:57:49,Damaged - Post Obay
400/D8659,SA FENDER BASE LH,-1,14/10/2024,-17.78,551,GI scrapping,4012248607,14/10/2024,,PROD,,HOPKINSTR,,07:13:10,Damaged - Post Obay
400/D8659,SA FENDER BASE LH,-2,14/10/2024,-35.56,551,GI scrapping,4012249244,14/10/2024,,PROD,,HOPKINSTR,,07:46:12,Damaged - Post Obay
400/D8659,SA FENDER BASE LH,-2,14/10/2024,-35.56,551,GI scrapping,4012248596,14/10/2024,,PROD,,HOPKINSTR,,07:12:03,Damaged - Post Obay
400/D9251,SA FENDER LH TRIM 5,-1,14/10/2024,-17.78,551,GI scrapping,4012249045,14/10/2024,,PROD,,HOPKINSTR,,07:38:34,Damaged - Post Obay
400/D9251,SA FENDER LH TRIM 5,-1,14/10/2024,-17.78,551,GI scrapping,4012248562,14/10/2024,,PROD,,HOPKINSTR,,07:09:26,Damaged - Post Obay
400/D9487,SA FENDER LH TRIM 3,-1,14/10/2024,-17.78,551,GI scrapping,4012248497,14/10/2024,,PROD,,HOPKINSTR,,07:04:16,Damaged - Post Obay
400/E8503,PLATE P69 HMH,-1,14/10/2024,-3.19,551,GI scrapping,4012249423,14/10/2024,,PROD,,HOPKINSTR,,07:52:54,Damaged - Post Obay
400/F6775,P55 STAB LEG SINGLE PIN,-1,14/10/2024,-144.33,551,GI scrapping,4012248415,14/10/2024,,PROD,,HOPKINSTR,,06:52:26,Damaged - Materials Int
400/H2467,CLEARVIEW CARRIAGE W.A.YE,-1,14/10/2024,"-1,455.81",551,GI scrapping,4012249993,14/10/2024,,PROD,,HOPKINSTR,,08:33:06,Damaged - Post Obay
400/H8368,BRAKE MANIFOLD,-1,14/10/2024,-20.59,551,GI scrapping,4012249117,14/10/2024,,PROD,,HOPKINSTR,,07:41:38,Damaged - Post Obay
400/J7089,3L AIR FILTER,-1,14/10/2024,-34.71,551,GI scrapping,4012248496,14/10/2024,,PROD,,HOPKINSTR,,07:03:37,Damaged - Post Obay
400/K5653,FLOORMAT,-1,14/10/2024,-30.84,551,GI scrapping,4012248417,14/10/2024,,PROD,,HOPKINSTR,,06:53:40,Damaged - Post Obay
400/K5653,FLOORMAT,-4,14/10/2024,-123.36,551,GI scrapping,4012249286,14/10/2024,,PROD,,HOPKINSTR,,07:48:48,Damaged - Post Obay
400/N4123,LH 1 AUX POD MOULD P42/P3,-1,14/10/2024,-15.08,551,GI scrapping,4012248526,14/10/2024,,PROD,,HOPKINSTR,,07:07:23,Damaged - Post Obay
400/P8120,PLATE COVER FRONT,-1,14/10/2024,-2.8,551,GI scrapping,4012249200,14/10/2024,,PROD,,HOPKINSTR,,07:44:15,Damaged - Post Obay
400/R9764,FAN MOTOR 11cc BI-DIR SAE,-1,14/10/2024,-205.37,551,GI scrapping,4012248438,14/10/2024,,PROD,,HOPKINSTR,,06:59:41,Damaged - Production Subs
400/R9764,FAN MOTOR 11cc BI-DIR SAE,-1,14/10/2024,-205.37,551,GI scrapping,4012249047,14/10/2024,,PROD,,HOPKINSTR,,07:39:24,Damaged - Post Obay
400/R9764,FAN MOTOR 11cc BI-DIR SAE,-1,14/10/2024,-205.37,551,GI scrapping,4012248689,14/10/2024,,PROD,,HOPKINSTR,,07:19:03,Damaged - Production Z7
400/S8067,WORKLIGHT LED 12/24V SQ S (P493),-1,14/10/2024,-34.5,551,GI scrapping,4012249472,14/10/2024,,PROD,,HOPKINSTR,,07:54:42,Damaged - Post Obay
400/T0518,SA HOSE -06 BSP HP 1160mm,-1,14/10/2024,-6.28,551,GI scrapping,4012249317,14/10/2024,,PROD,,HOPKINSTR,,07:49:56,Damaged - Post Obay
400/U4873,INNER TAIL PIPE,-1,14/10/2024,-19.32,551,GI scrapping,4012248885,14/10/2024,,PROD,,HOPKINSTR,,07:29:24,Damaged - Production Z7
400/W6058,TRANS. COVER PLATE,-1,14/10/2024,-4.62,551,GI scrapping,4012249590,14/10/2024,,PROD,,HOPKINSTR,,08:01:41,Damaged - Post Obay
400/X5471,MOTOR 11cc UNI-DIRECT,-2,14/10/2024,-280.93,551,GI scrapping,4012248940,14/10/2024,,PROD,,HOPKINSTR,,07:30:55,Damaged - Production Z7
400/Y4438,WA LIFT C/B PIPE,-2,14/10/2024,-30.36,551,GI scrapping,4012248373,14/10/2024,,PROD,,HOPKINSTR,,06:48:34,Damaged - Production Z7
401/C5486,ABI ENGINE COVER - NO LOGO,-1,14/10/2024,-400.54,551,GI scrapping,4012249927,14/10/2024,,PROD,,HOPKINSTR,,08:31:34,Damaged - Post Obay
401/C5800,ABI ENGINE COVER - BADGE,-2,14/10/2024,-819.52,551,GI scrapping,4012249929,14/10/2024,,PROD,,HOPKINSTR,,08:32:04,Damaged - Post Obay
401/C5800,ABI ENGINE COVER - BADGE,-2,14/10/2024,-819.52,551,GI scrapping,4012249025,14/10/2024,,PROD,,HOPKINSTR,,07:35:21,Damaged - Post Obay
401/C8565,ACCUMULATOR 0.24ltr 5.0ba,-2,14/10/2024,-36.83,551,GI scrapping,4012248903,14/10/2024,,PROD,,HOPKINSTR,,07:29:49,Damaged - Production Z7
401/E1271,ABI FUEL TANK,-2,14/10/2024,-344.34,551,GI scrapping,4012249618,14/10/2024,,PROD,,HOPKINSTR,,08:10:27,Damaged - Materials Int
401/E5588,2c2T HBCV WITH EQ PORT,-1,14/10/2024,-161.72,551,GI scrapping,4012248375,14/10/2024,,PROD,,HOPKINSTR,,06:49:04,Damaged - Production Z7
401/G6088,EXHAUST DUCT WA,-2,14/10/2024,-86.44,551,GI scrapping,4012249595,14/10/2024,,PROD,,HOPKINSTR,,08:03:02,Damaged - Post Obay
401/H3346,ABI ENGINE COVER,-1,14/10/2024,-383,551,GI scrapping,4012249925,14/10/2024,,PROD,,HOPKINSTR,,08:30:55,Damaged - Post Obay
401/H3346,ABI ENGINE COVER,-2,14/10/2024,-766,551,GI scrapping,4012249020,14/10/2024,,PROD,,HOPKINSTR,,07:34:53,Damaged - Post Obay
401/H8418,8 INCH BRAKE SERVO,-1,14/10/2024,-113.65,551,GI scrapping,4012248521,14/10/2024,,PROD,,HOPKINSTR,,07:06:29,Damaged - Post Obay
401/J2990,WA BRAKE ACC BRKT HMH,-1,14/10/2024,-10.66,551,GI scrapping,4012248945,14/10/2024,,PROD,,HOPKINSTR,,07:31:27,Damaged - Production Z7
401/K8899,33N SS 581mm CLOSE COUPLE,-1,14/10/2024,-39.97,551,GI scrapping,4012248466,14/10/2024,,PROD,,HOPKINSTR,,07:01:34,Damaged - Production Subs
401/S1282,PRESSING REAR BOOM CVR RA,-1,14/10/2024,-8.37,551,GI scrapping,4012248565,14/10/2024,,PROD,,HOPKINSTR,,07:09:53,Damaged - Post Obay
401/V1031,WA POD BASE 97+kW STV - B,-1,14/10/2024,-310.96,551,GI scrapping,4012252158,14/10/2024,,PROD,,HOPKINSTR,,10:37:59,Damaged - Production Z7
401/V9710,ACCUMULATOR 0.93L 18.6 BA,-1,14/10/2024,-39.8,551,GI scrapping,4012249992,14/10/2024,,PROD,,HOPKINSTR,,08:32:38,Damaged - Post Obay
401/V9718,ACCUMULATOR 0.93L 6.9 BAR,-1,14/10/2024,-39.8,551,GI scrapping,4012249920,14/10/2024,,PROD,,HOPKINSTR,,08:29:12,Damaged - Post Obay
401/Z1258,FRONT COVER,-1,14/10/2024,-17.02,551,GI scrapping,4012248520,14/10/2024,,PROD,,HOPKINSTR,,07:06:00,Damaged - Post Obay
401/Z1258,FRONT COVER,-1,14/10/2024,-17.02,551,GI scrapping,4012248591,14/10/2024,,PROD,,HOPKINSTR,,07:11:27,Damaged - Post Obay
402/C7904,ABI BANCO RAD,-1,14/10/2024,-141.33,551,GI scrapping,4012248378,14/10/2024,,PROD,,HOPKINSTR,,06:49:34,Damaged - Production Z7
402/D8621,SA FENDER LH CONSTRUCTION,-1,14/10/2024,-17.78,551,GI scrapping,4012248684,14/10/2024,,PROD,,HOPKINSTR,,07:18:06,Damaged - Production Z7
402/F7476,P981 RH REAR FENDER,-1,14/10/2024,-27.08,551,GI scrapping,4012249503,14/10/2024,,PROD,,HOPKINSTR,,07:55:18,Damaged - Post Obay
402/P6059,PILOT VALVE,-4,14/10/2024,-462.55,551,GI scrapping,4012248790,14/10/2024,,PROD,,HOPKINSTR,,07:21:10,Damaged - Production Z7
402/T7893,ABI HBCV LIFT RAM,-1,14/10/2024,-258.75,551,GI scrapping,4012249906,14/10/2024,,PROD,,HOPKINSTR,,08:28:45,Damaged - Post Obay
402/U0506,WA POD BASE 97+kW STV - B,-1,14/10/2024,-339.87,551,GI scrapping,4012248856,14/10/2024,,PROD,,HOPKINSTR,,07:27:02,Damaged - Production Z7
403/B3352,ABI CPK ST5 112-129kW DTV,-1,14/10/2024,-63.06,551,GI scrapping,4012249811,14/10/2024,,PROD,,HOPKINSTR,,08:23:07,Damaged - Production Z7
403/B9120,PRESSING-FRONT COVER YELL,-2,14/10/2024,-23.4,551,GI scrapping,4012248498,14/10/2024,,PROD,,HOPKINSTR,,07:05:33,Damaged - Post Obay
403/D1552,TWIN LINE TB VALVE 40BAR,-1,14/10/2024,-310.86,551,GI scrapping,4012248986,14/10/2024,,PROD,,HOPKINSTR,,07:32:23,Damaged - Production Z7
403/D3131,VALVE BLOCK COVER,-1,14/10/2024,-17.07,551,GI scrapping,4012248610,14/10/2024,,PROD,,HOPKINSTR,,07:13:36,Damaged - Post Obay
614/24200,HOSE 5/8BSP 640mm,-1,14/10/2024,-10.49,551,GI scrapping,4012248642,14/10/2024,,PROD,,HOPKINSTR,,07:15:15,Damaged - Post Obay
700/50129,REAR LIGHT & PLINTH CLUST,-1,14/10/2024,-14.13,551,GI scrapping,4012248656,14/10/2024,,PROD,,HOPKINSTR,,07:16:35,Damaged - Post Obay
700/50129,REAR LIGHT & PLINTH CLUST,-1,14/10/2024,-14.13,551,GI scrapping,4012249543,14/10/2024,,PROD,,HOPKINSTR,,07:58:57,Damaged - Post Obay
700/50130,REAR LIGHT & PLINTH CLUST,-1,14/10/2024,-14.75,551,GI scrapping,4012249118,14/10/2024,,PROD,,HOPKINSTR,,07:42:03,Damaged - Post Obay
700/50130,REAR LIGHT & PLINTH CLUST,-1,14/10/2024,-14.75,551,GI scrapping,4012248872,14/10/2024,,PROD,,HOPKINSTR,,07:27:55,Damaged - Production Z7
700/50192,Headlamp LH Dip 12V LHS Mount,-3,14/10/2024,-44.09,551,GI scrapping,4012249749,14/10/2024,,PROD,,HOPKINSTR,,08:16:34,Damaged - Post Obay
700/50193,Headlamp LH Dip 12V RHS Mount,-3,14/10/2024,-44.08,551,GI scrapping,4012249724,14/10/2024,,PROD,,HOPKINSTR,,08:14:40,Damaged - Post Obay
716/S3395,M12 LLMI PWM TDCR SG 50PC,-3,14/10/2024,-348,551,GI scrapping,4012249289,14/10/2024,,PROD,,HOPKINSTR,,07:49:13,Damaged - Post Obay
716/S3395,M12 LLMI PWM TDCR SG 50PC,-1,14/10/2024,-116,551,GI scrapping,4012248416,14/10/2024,,PROD,,HOPKINSTR,,06:53:14,Damaged - Post Obay
721/C5996,SRS LIFT RAM HARNESS 531/,-3,14/10/2024,-22.64,551,GI scrapping,4012248410,14/10/2024,,PROD,,HOPKINSTR,,06:50:29,Damaged - Production Z7
156/59300,HITCH PIN,-4,11/10/2024,-10.2,551,GI scrapping,4012232472,11/10/2024,,PROD,,HOPKINSTR,,12:08:18,Damaged - Materials Int
31AG/BA036,HOSE -04 BSP HP 360mm B,-2,11/10/2024,-8.95,551,GI scrapping,4012232283,11/10/2024,,PROD,,HOPKINSTR,,11:56:14,Damaged - Materials Int
31AG/BA060,HOSE 1/4 BSP HP 600mm B,-1,11/10/2024,-6.11,551,GI scrapping,4012232289,11/10/2024,,PROD,,HOPKINSTR,,11:56:42,Damaged - Materials Int
31AG/BA070,(P) HOSE 1/4 BSP HP 700mm B (P493D),-1,11/10/2024,-6.28,551,GI scrapping,4012232465,11/10/2024,,PROD,,HOPKINSTR,,12:06:58,Damaged - Materials Int
332/D3032,HOSE 3/4 BSP   545MM,-1,11/10/2024,-14.25,551,GI scrapping,4012232419,11/10/2024,,PROD,,HOPKINSTR,,12:04:45,Damaged - Materials Int
332/E9000,CONDENSOR TIII MECH ENG,-1,11/10/2024,-61.3,551,GI scrapping,4012230704,11/10/2024,,PROD,,HOPKINSTR,,11:46:25,Damaged - Production  Z2
332/F2269,WA LH FENDER MTG ARM,-2,11/10/2024,-11.34,551,GI scrapping,4012232214,11/10/2024,,PROD,,HOPKINSTR,,11:51:42,Damaged - Production Subs
332/F3188,HOSE 3/4 BSP - 1 S,-1,11/10/2024,-23.61,551,GI scrapping,4012231572,11/10/2024,,PROD,,HOPKINSTR,,11:48:04,Damaged - Production  Z2
332/F5768,TB CONNECT MTG BRACKET,-7,11/10/2024,-29.96,551,GI scrapping,4012232567,11/10/2024,,PROD,,HOPKINSTR,,12:16:48,Damaged - Materials Int
332/G1672,HITCH RELEASE CABLE,-1,11/10/2024,-15.45,551,GI scrapping,4012232562,11/10/2024,,PROD,,HOPKINSTR,,12:15:05,Damaged - Materials Int
332/G1678,GA HOSE 3/8 BSP,-1,11/10/2024,-7.45,551,GI scrapping,4012228454,11/10/2024,,PROD,,HOPKINSTR,,11:42:17,Damaged - Production  Z2
332/G8983,WA RH FRONT FENDER ARM,-1,11/10/2024,-18.24,551,GI scrapping,4012231578,11/10/2024,,PROD,,HOPKINSTR,,11:49:12,Damaged - Production Subs
333/C8711,ABI DIPSTICK PS750 SHORT B/BOX,-1,11/10/2024,-8.75,551,GI scrapping,4012232250,11/10/2024,,PROD,,HOPKINSTR,,11:52:39,Damaged - Production Subs
333/C8745,ABI DIPSTICK PS750 LONG B/BOX,-1,11/10/2024,-9.58,551,GI scrapping,4012232218,11/10/2024,,PROD,,HOPKINSTR,,11:52:11,Damaged - Production Subs
333/D2052,HOSE AIR CONDITIONING,-1,11/10/2024,-20.15,551,GI scrapping,4012228459,11/10/2024,,PROD,,HOPKINSTR,,11:43:47,Damaged - Production  Z2
333/D9525,WA STEER PIPES,-1,11/10/2024,-54.2,551,GI scrapping,4012232564,11/10/2024,,PROD,,HOPKINSTR,,12:16:15,Damaged - Materials Int
333/E2508,HOSE - 08 BSP HP 760mm B,-1,11/10/2024,-6.25,551,GI scrapping,4012232416,11/10/2024,,PROD,,HOPKINSTR,,12:03:37,Damaged - Materials Int
333/E2910,BRAKE PIPE,-1,11/10/2024,-11.28,551,GI scrapping,4012232483,11/10/2024,,PROD,,HOPKINSTR,,12:10:00,Damaged - Materials Int
334/C5988,REMOTE GREASE PIVOT PIN 6,-1,11/10/2024,-9.85,551,GI scrapping,4012232479,11/10/2024,,PROD,,HOPKINSTR,,12:09:04,Damaged - Materials Int
334/C8372,WA OIL DEF PLATE 5**-70,-1,11/10/2024,-3.16,551,GI scrapping,4012232563,11/10/2024,,PROD,,HOPKINSTR,,12:15:40,Damaged - Materials Int
334/E4361,SA HOSE - 450 PURPLE,-1,11/10/2024,-9.68,551,GI scrapping,4012232418,11/10/2024,,PROD,,HOPKINSTR,,12:04:12,Damaged - Materials Int
334/F2842,LIFT ARM SUPPORT DEVICE (,-1,11/10/2024,-12.11,551,GI scrapping,4012232306,11/10/2024,,PROD,,HOPKINSTR,,11:58:32,Damaged - Materials Int
334/F8588,HOSE AIR CON SEF,-2,11/10/2024,-20.98,551,GI scrapping,4012232205,11/10/2024,,PROD,,HOPKINSTR,,11:49:42,Damaged - Production Subs
334/G3689,ABI HEADER TANK,-1,11/10/2024,-16.41,551,GI scrapping,4012232259,11/10/2024,,PROD,,HOPKINSTR,,11:53:53,Damaged - Materials Int
33AA/VA074,HOSE -08 BSP HP 740mm B,-1,11/10/2024,-19.35,551,GI scrapping,4012232253,11/10/2024,,PROD,,HOPKINSTR,,11:53:25,Damaged - Materials Int
33AG/BA047,(P) HOSE-08 BSP HP 470mm B (P493D),-44,11/10/2024,-259.22,551,GI scrapping,4012232410,11/10/2024,,PROD,,HOPKINSTR,,12:02:09,Damaged - Materials Int
346/00500,(P) FUEL FILLER NECK (SEK),-1,11/10/2024,-6.71,551,GI scrapping,4012228455,11/10/2024,,PROD,,HOPKINSTR,,11:42:47,Damaged - Production  Z2
400/E5128,PLATE-HYD TANK ACCESS PAN,-1,11/10/2024,-15.35,551,GI scrapping,4012219711,11/10/2024,,PROD,,RAFEEQM,,08:00:44,PRODUCTION ROTO
400/F9610,"WA FAN SPIDER 23"" FAN",-1,11/10/2024,-27.44,551,GI scrapping,4012219664,11/10/2024,,PROD,,RAFEEQM,,07:58:46,PRODUCTION ROTO
400/H2314,LEAD-BUSBAR TO FUSE 70CSA,-3,11/10/2024,-18.96,551,GI scrapping,4012220123,11/10/2024,,PROD,,RAFEEQM,,08:23:58,PRODUCTION ROTO
400/H8285,CPV NON TB AND SAHR CHRG,-1,11/10/2024,-152.78,551,GI scrapping,4012232602,11/10/2024,,PROD,,HOPKINSTR,,12:17:15,Damaged - Materials Int
400/K7146,HITCH PIN,-20,11/10/2024,-96.2,551,GI scrapping,4012230703,11/10/2024,,PROD,,HOPKINSTR,,11:45:56,Damaged - Production  Z2
400/M4547,CPV TB AND SAHR CHRG,-2,11/10/2024,-296.65,551,GI scrapping,4012232481,11/10/2024,,PROD,,HOPKINSTR,,12:09:36,Damaged - Materials Int
400/V0176,VALVE BLOCK LOAD CONTROL,-1,11/10/2024,-67.31,551,GI scrapping,4012219662,11/10/2024,,PROD,,RAFEEQM,,07:56:04,PRODUCTION ROTO
401/A9502,BATT CABLE 95mm2 RED 400m,-1,11/10/2024,-14.52,551,GI scrapping,4012220041,11/10/2024,,PROD,,RAFEEQM,,08:21:28,PRODUCTION ROTO
401/B0857,BATT CABLE 70mm2 RED 320m,-2,11/10/2024,-13.06,551,GI scrapping,4012220048,11/10/2024,,PROD,,RAFEEQM,,08:22:56,PRODUCTION ROTO
401/C3892,BOOM LOGO,-1,11/10/2024,-6.94,551,GI scrapping,4012219880,11/10/2024,,PROD,,RAFEEQM,,08:11:47,PRODUCTION ROTO
401/D3169,WA BRKT HEADER TANK,-2,11/10/2024,-9.57,551,GI scrapping,4012228458,11/10/2024,,PROD,,HOPKINSTR,,11:43:20,Damaged - Production  Z2
401/K3017,GAS STRUT,-2,11/10/2024,-14.42,551,GI scrapping,4012232305,11/10/2024,,PROD,,HOPKINSTR,,11:58:01,Damaged - Materials Int
401/L0218,HANDBRAKE LEVER,-1,11/10/2024,-45.97,551,GI scrapping,4012232309,11/10/2024,,PROD,,HOPKINSTR,,11:58:59,Damaged - Materials Int
